name,website,email,phone,address,mission_statement,year_founded,popu_served,twitter,facebook,linkedin,instagram,programs,county
"Adoption Options, Inc",http://www.adoption-options.com,[email protected],3036951601,"1355 S. Colorado Blvd., Suite 501, Denver, CO, 80222","Adoption Options is an inclusive non-profit adoption agency dedicated to enriching the lives of children, youth and families.  We provide education, placement services, counseling and support for all members of the adoption community.
",1981,All Populations,,,,,"Infant adoption, designated adoption, foster to adopt (flexible families), Fresh Beginnings (second chance adoptions), custody evaluations, relinquishment counseling, abbreviated home studies, and training and education.
",Denver
AdvocacyDenver,http://www.advocacydenver.org,[email protected],303-831-7733,"950 S Cherry St Suite 1100, Denver, CO, 80246","AdvocacyDenver promotes and protects the human rights of people with disabilities and actively supports their full inclusion and participation in the community throughout their lifetimes.
",1954,People Living With Disabilities,,https://www.facebook.com/advocacydenverco/,,,"AdvocacyDenver is a civil rights advocacy organization serving children and youth with disabilities and adults with intellectual and developmental disabilities and their families. AdvocacyDenver provides individual, legal, and policy advocacy in Denver county.
",Denver
Advocates for Children CASA,http://www.adv4children.org,[email protected],303.328.2353,"16965 Pine Lane #120, Parker, CO, 80134","Speaking up for abused and neglected children through Court Appointed Special Advocates, CASA volunteers.
",1985,Children and Youth,,,,,"Dependency & Neglect CASAs, Truancy CASAs, Tutoring, Legacy Project Mentoring, Juvenile Delinquency CASAs
",Douglas
AfterHours Denver,https://afterhoursdenver.org,[email protected],(720) 414-0424,"1550 Larimer St, Suite 477, Denver, CO, 80202","We provide essential resources to those experiencing homelessness and poverty, while also offering community to the spiritually independent.
",2008,"All Populations, People Experiencing Homelessness, Low Income, Urban",,https://www.facebook.com/AfterHoursDenver,,https://www.instagram.com/afterhoursdenver,"We make and serve sack lunches everyday to those experiencing homelessness and poverty. We also run two annual free markets in Civic Center Park and Liberty Park where homeless and impoverished individuals can gather essential supplies. These two events are called Thankful for Long Johns and Christmas in the Park. They take place on Thanksgiving Day and Christmas Day. In addition, we create spaces in public places where the spiritually independent can build community.
",Denver
Aims Community College Foundation,https://www.aims.edu/foundation,[email protected],9703396556,"5401 W. 20th Street, Greeley, CO, 80634","To support the goals and objectives of Aims Community College by providing supplemental resources to ensure student success.
",1979,All Populations,,,,,"Scholarship development
Endowments
Program support
",Weld
Alameda Connects ,https://alamedaconnects.org/,[email protected],3032741807,"393 S. Harlan St., 210B, Lakewood, CO, 80226","We Foster Opportunity and Prosperity by Cultivating Connections Through the Celebration of our Vibrant Community
",1997,All Populations,https://twitter.com/AlamedaGateway,https://www.facebook.com/AlamedaConnects/,,https://www.instagram.com/alamedagateway/,"Arts, Street Beautification, Community development, economic development, safety
",Jefferson
Allergy Safe Kids,https://www.allergysafekids.org/,[email protected],7733151585,"1211 South Parker Road, Suite 100, Denver, CO, 80231","Keeps kids with severe food allergies safe wherever they live, learn and play.
",2013,Children and Youth,https://twitter.com/AllergySafeKids,https://www.facebook.com/Allergy-Safe-Kids-Inc-678446692262697/,,,"Allergy Safe Kids (ASK) was established in 2013 by a medical doctor and mother of children with food allergies. ASK strives to make children with life-threatening food allergies safer in their school environments by training school nurses to recognize and treat allergic reactions. The nurses use ASK’s online training module to train other staff and faculty in their schools so they are prepared to act in case of a life-threatening allergic reaction. ASK's vision is to have all school districts across the state of Colorado utilizing our free online-training module to maximize food-allergy safety in schools.
",Arapahoe
Alliance,http://www.alliancecolorado.org,[email protected],3038321618,"1410 N GRANT ST, B305, Denver, CO, 80203","An association dedicated to strengthening community services and supports for people with intellectual and developmental disabilities by collaboratively advancing innovative policies and practices.
",1973,People Living With Disabilities,http://www.twitter.com/Alliance_CO,https://www.facebook.com/pages/Alliance-Colorado/138001059557798,,,"n/a
",Denver
Alliance of International Aromatherapists,http://www.alliance-aromatherapists.org,[email protected],3035316377,"3758 E. 104th Avenue, Denver, CO, 80233","AIA unites aromatherapists from around the world to advance research and professionalism within the aromatherapy industry. As a result the public has the option for a safe, natural and complementary form of health care.
",2006,All Populations,https://twitter.com/AIAaroma,https://www.facebook.com/AIAaroma,https://www.linkedin.com/in/aiaaroma/,https://www.instagram.com/aia_alliancearomatherapists/,"The Benefits of Membership
By becoming a member of AIA, you have access to special research resources, networking opportunities locally and around the world with other aromatherapists, continuing aromatherapy education opportunities and biennial international aromatherapy conferences.
",Adams
"Almost Home, Inc.",https://www.almosthomeonline.org/,[email protected],3036596199,"22 S. 4th Ave. Suite 102, Brighton, CO, 80601","Our Mission:
•To promote self-sufficiency and provide assistance to those experiencing housing instability.
",1993,"African-American, Children and Youth, Families, People Experiencing Homelessness, Latino/Hispanic, Low Income, Rural, Urban",,https://www.facebook.com/AlmostHomeColorado/,,,"Rental Assistance
Utilities Assistance
Family Shelter
",Adams
Alternatives to Violence,http://www.alternativestoviolence.org,[email protected],970-669-5150,"541 E 8TH ST, Loveland, CO, 80537","Alternatives to Violence (ATV) in collaboration with individuals and communities impacted by violence, creates safe pathways away from abusive environments through education, counseling, advocacy and shelter.
",1982,All Populations,,https://www.facebook.com/atv6695150/,,,"We have a safehouse for victims of domestic violence. We also provide services to the community through referral, therapy and court volunteers.
",Larimer
Alzheimer's Association ,http://www.alz.org/co,[email protected],312.766.8030,"225 Michigan Avenue, Floor #17, Chicago, IL, 60601","The Alzheimer's Association leads the way to end Alzheimer's and all other dementia — by accelerating global research, driving risk reduction and early detection, and maximizing quality care and support.
",1980,All Populations,,,,,"24/7 Helpline, Education Classes, Support Groups, Early Stage Services
",Cook
American Civil Liberties Union of Colorado,http://www.aclu-co.org,[email protected],7204023109,"303 East 17th Avenue Ave., Suite 350, Denver, CO, 80203","To protect, defend and extend the civil rights and civil liberties of all people in Colorado through education, litigation and advocacy.
",1952,All Populations,https://twitter.com/ACLUofColorado,https://www.facebook.com/acluofcolorado,,,"Legal, Public Policy, Campaigns, Public Education and Communications
",Denver
"American Institute of Graphic Arts, Colorado Chapter",https://colorado.aiga.org,[email protected],n/a,"PO Box 1605, Denver, CO, 80201","AIGA advances design as a professional craft, strategic advantage and vital cultural force. As the largest community of design advocates, we bring together practitioners, enthusiasts, and patrons to amplify the voice of design and create the vision for a collective future. We define global standards and ethical practices, guide design education, enhance professional development, and make powerful tools and resources accessible to all.
",1990,All Populations,http://www.twitter.com/aigacolorado,http://www.facebook.com/AIGAColorado,,http://www.instagram.com/aigacolorado,"• Speaker Series (up to 8 per year)
• Elevate: A Poster Design Mentorship Program
• Robert Taylor Professional Grant
• Rober Taylor Student Scholarship
• Design Slam / Annual Student Competition
• Bi-annual Fellows Gala
• Additional events including educational / community / design related / art related
",Denver
American Red Cross Mile High Chapter,https://www.redcross.org/local/colorado/about-us.html,,2023034146,"444 Sherman St, Denver, CO, 80203","To prevent and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.
",1916,All Populations,,,,,"Disaster response, recovery and preparedness, life saving trainings and service to the armed forces
",Denver
American Transplant Foundation,http://www.americantransplantfoundation.org,[email protected],303-757-0959,"600 17th Street, Suite 2515 S, Denver, CO, 80202","The American Transplant Foudnation is a national non-profit organization that works to increase the donation of organs and tissues to reduce the growing list of men, women and children who are waiting for a life-saving transplant.
",2005,All Populations,https://twitter.com/AmerTransplant?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/AmericanTransplantFoundation/,,https://www.instagram.com/american_transplant_foundation/,"Patient Assistance Program
1+1=LIFE Mentorship Program
Potential Living Donor Database
Team Transplant
Transplant Leadership Council
",Denver
